category,subcategory,name,description,url,price,image
NVIDIA Electronics,Geforce,GEFORCE NOW $50 MEMBERSHIP GIFT CARD,"GeForce NOW gift cards can be redeemed for either a Priority or Ultimate membership, making it easy for any gamer to upgrade to the membership level of their preference. Play the most anticipated new releases, the world’s largest free-to-play titles, and thousands of games you already own with GeForce performance, streaming from the cloud.

Please note that gift cards cannot be redeemed with GFN Alliance partners.

Gift Card codes will work in the following countries (GFN supported regions):

Åland (Finland), Austria, Canada, Cyprus, Czechia (Czech Republic), Denmark, Finland, France, Germany, Guernsey, Ireland, Isle of Man, Italy, Jersey, Netherlands, Norway, Poland, Saint Pierre and Miquelon, Spain, Sweden, Switzerland, United Kingdom, United States",https://gear.nvidia.com/GeForce-NOW-50-Membership-Gift-Card-P678.aspx,50,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fGFN-GiftCardPackaging-Top-GreyV2.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Geforce,NVIDIA® GEFORCE RTX™ 4090,"The NVIDIA® GeForce RTX® 4090 is the ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics. Experience ultra-high performance gaming, incredibly detailed virtual worlds, unprecedented productivity, and new ways to create. It’s powered by the NVIDIA Ada Lovelace architecture and comes with 24 GB of G6X memory to deliver the ultimate experience for gamers and creators.

CUDA Cores: 16384
Boost Clock: 2.52 GHz
Memory Configuration: 24GB GDDR6X
 
Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",https://gear.nvidia.com/NVIDIA-GeForce-RTX-4090-P668.aspx,1599,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0556_1.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Geforce,NVIDIA® GEFORCE RTX™ 4080,"The NVIDIA® GeForce RTX™ 4080 delivers the ultra performance and features that enthusiast gamers and creators demand. Bring your games and creative projects to life with ray tracing and AI-powered graphics. It's powered by the ultra-efficient NVIDIA Ada Lovelace architecture and 16GB of superfast G6X memory.

CUDA Cores: 9728
Boost Clock: 2.51 GHz
Memory Configuration: 16GB GDDR6X
Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",https://gear.nvidia.com/NVIDIA-GeForce-RTX-4080-P680.aspx,1199,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2f4080.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Geforce,NVIDIA® GEFORCE RTX™ 4070,"Get equipped for stellar gaming and creating with the NVIDIA® GeForce RTX™ 4070. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.  

CUDA Cores: 5888
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X
Model 900-1G141-2544-000",https://gear.nvidia.com/NVIDIA-GeForce-RTX-4070-P718.aspx,599,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2f4070_2.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Geforce,NVIDIA® GEFORCE™ RTX 4060TI 8GB,"Game, stream, create. The GeForce RTX™ 4060 Ti lets you take on the latest games and apps with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience immersive, AI-accelerated gaming with ray tracing and DLSS 3, and supercharge your creative process and productivity with NVIDIA Studio

CUDA Cores: 4352
Boost Clock: 2.54 GHz
Memory Configuration: 8GB GDDR6",https://gear.nvidia.com/NVIDIA-GeForce-RTX-4060Ti-8GB-P732.aspx,299,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2f4060Ti-Back-800x800.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Geforce,NVIDIA® GEFORCE RTX™ 4070 SUPER,"Product Description: Get equipped for supercharged gaming and creating with the NVIDIA® GeForce RTX™ 4070 SUPER. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience super-fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.

CUDA Cores: 7168
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X",https://gear.nvidia.com/NVIDIA-GeForce-RTX-4070-Super-P774.aspx,799,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0656-Back.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Shield,NVIDIA® SHIELD™ REMOTE (2020),"Motion-activated, backlit buttons
Mic for voice search and control
Bluetooth connectivity
IR for TV control
Built-in lost remote locator
930-13700-2500-100",https://gear.nvidia.com/NVIDIA-SHIELD-REMOTE-2020-P543.aspx,54.99,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0452.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Shield,NVIDIA® SHIELD™ TV 2019,"NVIDIA® SHIELD® TV is the ultimate streaming media player for the modern living room. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. The new SHIELD TV is compact, stealth, and designed to disappear behind your entertainment center, right along with your cables. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up. Experience more.",https://gear.nvidia.com/NVIDIA-SHIELD-TV-2019-bNAb-P524.aspx,199,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0426.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Shield,NVIDIA® SHIELD™ TV PRO 2019,"NVIDIA® SHIELD® TV Pro is the supreme streaming media player - packed with features to make even the most demanding users proud. Beautifully designed to be the perfect centerpiece of your entertainment center. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up to SHIELD TV Pro for more storage space, two USB 3.0 ports for expandability (storage expansion, USB cameras, USB keyboards and controllers, TV tuners, and more), Plex Media Server, SmartThings hub-ready (just add a SmartThings Link), AAA Android gaming, Twitch broadcasting, and 3GB RAM.",https://gear.nvidia.com/NVIDIA-SHIELD-TV-PRO-2019-bNAb-P522.aspx,199.99,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0425.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Jetson,JETSON NANO DEVELOPER KIT,"The power of modern AI is now available for makers, learners, and embedded developers everywhere.

NVIDIA® Jetson Nano Developer Kit is a small, powerful computer that lets you run multiple neural networks in parallel for applications like image classification, object detection, segmentation, and speech processing. All in an easy-to-use platform that runs in as little as 5 watts.

It’s simpler than ever to get started! Just insert a microSD card with the system image, boot the developer kit, and enjoy using the same NVIDIA JetPack SDK used across the NVIDIA Jetson™ family of products.

This version of Jetson Nano Developer Kit has two camera connectors.",https://gear.nvidia.com/Jetson-Nano-Developer-Kit--P540.aspx,149,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0443.jpg&maintainAspectRatio=true&width=800
NVIDIA Electronics,Jetson,NVIDIA JETSON ORIN NANO DEVELOPER KIT,"The NVIDIA® Jetson Orin™ Nano Developer Kit sets a new standard for creating entry-level AI-powered robots, smart drones, and intelligent cameras. Compact design, lots of connectors, and up to 40 TOPS of AI performance deliver everything you need to transform your visionary concepts into reality.

With up to 80X the performance of Jetson Nano, the developer kit can run all modern AI models, including those for transformer and advanced robotics. It features a Jetson Orin Nano 8GB module, a reference carrier board that can accommodate all Orin Nano and Orin NX modules, and the power to run the entire NVIDIA AI software stack. This gives you the ideal platform for prototyping your next-gen edge AI solution.

Get started with your AI journey!",https://gear.nvidia.com/NVIDIA-Jetson-Orin-Nano-Developer-Kit-USCA-P722.aspx,499.95,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNVIDIA-JetsonOrin-3QTR-Front-Left.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,UNISEX TMYBTMYS CUDA TEE,"Product Details: 

4.2 oz., 100% airlume combed and ringspun cotton
Retail fit
Unisex sizing
Shoulder taping
Sideseamed
Tear away label
Pre-shrunk",https://gear.nvidia.com/Unisex-TMYBTMYS-CUDA-Tee-P765.aspx,22,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0632-0633-Group_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,MEN'S BEYOND YOGA CREW T-SHIRT - DARKEST NIGHT,"Beyond Yoga Featherweight Always Beyond Crew T-shirt is a classic top you can wear anytime, anywhere.  Darkest Night

Product Details:

Lightweight, ultrasoft
4-way stretch fabric
Crew neckline
Classic fit
94% Polyester 6% Elastane",https://gear.nvidia.com/Mens-Beyond-Yoga-Crew-T-Shirt-Darkest-Night-P759.aspx,66,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0621-DNT-Front_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,MEN'S BEYOND YOGA TAKE IT EASY SHORTS,"Beyond Yoga Take It Easy shorts are total comfort whether you're lounging on the couch or out and about for the day.  Available in Darkest Night or Olive Heather.  

Product Details:

Elasticized waistband, relaxed fit
Two side hand pockets
One zippered back pocket
87% Polyester 13% Elastane
4-way stretch
7"" inseam",https://gear.nvidia.com/Mens-Beyond-Yoga-Take-It-Easy-Shorts-P755.aspx,88,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0618-0619-Group_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,MEN'S BEYOND YOGA TAKE IT EASY PANT - DARKEST NIGHT,"Whether you are lounging at your home or out on the town on those casual weekends, the Beyond Yoga Take It Easy Pants are perfect.

Product Details:

Slim fit with slightly tapered legs
Elasticized waistband with internal drawcord closure
Two side hip pockets
One zippered back pocket
87% Polyester 13% Elastane",https://gear.nvidia.com/Mens-Beyond-Yoga-Take-It-Easy-Pant-Darkest-Night-P751.aspx,99,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0617-DNT.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,MEN'S LOGO TEE,"4.2 oz., 100% airlume combed and ringspun cotton
Retail fit
Unisex sizing
Shoulder taping
Sideseamed
Tear away label
Pre-shrunk",https://gear.nvidia.com/Mens-Logo-Tee-P729.aspx,22,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0596-97--98-0607-Group_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,NEXT LEVEL ECO UNISEX TEE UNISEX,"5.6 oz./yd², 60/40 organic cotton/recycled poly RPET, 20 singles
Made of approximately 4 recycled RPET bottles per shirt
Melange color effect
1x1 baby rib-knit set-in collar
Unisex fit
Side seams
Tear away label",https://gear.nvidia.com/Next-Level-Eco-Unisex-Tee-Unisex-P715.aspx,22,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0582-83-84_Group_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,NVIDIA DUO-TONE LOGO UNISEX TEE,"4.2 oz., 100% airlume combed and ringspun cotton
Retail fit
Unisex sizing
Shoulder taping
Sideseamed
Tear away label
Pre-shrunk",https://gear.nvidia.com/NVIDIA-Duo-Tone-Logo-Unisex-Tee-P738.aspx,18,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0589-Group.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,UNISEX INSPIRE 365 TEE,"4.2 oz., 100% airlume combed and ringspun cotton
Retail fit
Unisex sizing
Shoulder taping
Sideseamed
Tear away label
Pre-shrunk",https://gear.nvidia.com/Unisex-Inspire-365-Tee-P737.aspx,18,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0610-EVG-Group.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,NORTH FACE MEN'S TREKKER JACKET,"Designed with baffles contoured to fit your body, this streamlined jacket offers lightweight, highly compressible synthetic insulation.
The Trekker jacket will keep you warmer regardless of the conditions.

Product Details: 

15D 33 g/m2 100% nylon with durable water-repellent (DWR) finish
Partially constructed from recycled fabrications
Interior left chest zippered pocket
Interior elastic cuffs
Secure-zip hand pockets
Stows in left hand pocket
Hem cinch-cord",https://gear.nvidia.com/North-Face-Mens-Trekker-Jacket-P650.aspx,229,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0514-Group_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,MARINE LAYER CORBET FULL ZIP MEN'S,"We took the (dare we say) famous Corbet fabric and put it in a full zip jacket silhouette!

Product Details:

Black
68% Polyester, 16% Cotton, 16% Rayon
Signature Corbet Quilted Fabric
Standard fit
Wash cold, dry low
Made responsibly in China",https://gear.nvidia.com/Marine-Layer-Corbet-Full-Zip-Mens-P689.aspx,139,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0558-BLK_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,MARINE LAYER CORBET FULL ZIP VEST MEN'S,"We took the (dare we say) famous Corbet fabric and put it in a full zip vest silhouette!

68% Polyester, 16% Cotton, 16% Rayon
Signature Corbet Quilted Fabric
Standard fit
Wash cold, dry low
Made responsibly in China",https://gear.nvidia.com/Marine-Layer-Corbet-Full-Zip-Vest-Mens-P687.aspx,119,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0560-BLK_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,CHAMPION REVERSE WEAVE CREWNECK UNISEX,"12-ounce, 82/18 cotton/poly fleece
Reverse weave cross-grain cut resists shrinkage
1x1 rib knit neck, side panels, sleeve cuffs and hem
Embroidered Champion “C” logo at left cuff
Woven back neck label
Loose fit, runs large",https://gear.nvidia.com/Champion-Reverse-Weave-Crewneck-Unisex-P707.aspx,55,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0575-Group_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,FLUX BONDED JACKET 2.0 MEN'S LIGHT HEATHER,"Take performance to the next level with this 2.0 Fleece Jacket. The modern fit and sleek look make this the ideal jacket for all. 

Product Details:

100% polyester microfleece
Coverstitch details throughout
Center front coil zipper with contrast teeth, semi-autolock slider and rubber pull
Active fit
Easy care",https://gear.nvidia.com/Flux-Bonded-Jacket-20-Mens-Light-Heather-P633.aspx,65,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0505-LGH_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,FULL ZIP NEURAL HOODIE UNISEX,"Stay comfortable and warm in this stylish hoodie. 

Product Details:

50/50 cotton/poly fleece 
NVIDIA pattern hood liner",https://gear.nvidia.com/Full-Zip-Neural-Hoodie-Unisex-P528.aspx,55,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0423-HTG_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,LONG SLEEVE PERFORMANCE SHIRT MEN'S,"This crew neck is the perfect shirt whether you are exercising or just lounging around. 

Product Details:

Stretchy and comfortable 90% polyester 10% spandex fabric
Decorative and functional reflective patterns on front & back
Moisture wicking, UPF 30",https://gear.nvidia.com/Long-Sleeve-Performance-Shirt-Mens-P371.aspx,35,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0218-BLK_Full_1.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,NIKE 2.0 POLO MEN'S,"100% polyester Dri-FIT fabric
Flat knit collar and three-button placket
Rolled-forward shoulder seams
Open hem sleeves and open hem
Contrast Swoosh logo is embroidered on the left sleeve",https://gear.nvidia.com/Nike-20-Polo-Mens-P645.aspx,40,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0523-Group_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,COTTON TOUCH POLO MEN'S,"This polyester polo performs with the comfortable feel of cotton. Just right for the workday or after hours, this sophisticated style has subtle texture, manages moisture, keeps you fresher with odor-controlling technology and feels great against your skin. 

Product Details:

Made from 5.8 oz. 95/5 poly/spandex jersey
Self-fabric collar
Tag-free label
3-button placket",https://gear.nvidia.com/Cotton-Touch-Polo-Mens-P340.aspx,25,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0228-BLK_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,AUTONOMOUS TIME TRAVELER TEE UNISEX,"Retail fit
90% cotton/10% poly
Machine wash
Imported",https://gear.nvidia.com/Autonomous-Time-Traveler-Tee-Unisex-P664.aspx,22,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0542-BLK_Full.jpg&maintainAspectRatio=true&width=800
Apparel,Mens,GEFORCE LOGO HIGH DENSITY TEE UNISEX,"Heather Black & Athletic Heather: 90% airlume combed and ring-spun cotton, 10% polyester
Stone: 52% airlume combed and ringspun cotton, 48% polyester
Retail fit
Tear-away label
Side seamed
Shoulder taping",https://gear.nvidia.com/GeForce-Logo-High-Density-Tee-Unisex-P682.aspx,18,https://gear.nvidia.com/GetImage.ashx?Path=%7e%2fAssets%2fProductImages%2fNV00-0551-Group_Full.jpg&maintainAspectRatio=true&width=800
